,name,area,aspect,fill,circularness,number of children,rgb_area,rgb_aspect,rgb_fill,rgb_circularness,rgb_average,median_height,mean_height
0,banana,1059.0,0.408631083132,0.486225895317,0.251324006926,1,1968.5,0.491228959552,0.569506726457,0.360252194838,"[9.7657789408866993, 6.2270114942528734, 9.141651272577997]",0.164553940296,0.162901684642
0,banana,1059.0,0.408631083132,0.486225895317,0.251324006926,1,1968.5,0.491228959552,0.569506726457,0.360252194838,"[9.7657789408866993, 6.2270114942528734, 9.141651272577997]",0.164553940296,0.162901684642
0,,937.5,0.371895133176,0.467931120539,0.227709947259,1,1895.5,0.522341331819,0.564809296782,0.371454014208,"[11.116648992576883, 7.3340933191940616, 10.585790031813362]",0.0933362394571,0.0989043563604
0,banana,937.5,0.371895133176,0.467931120539,0.227709947259,1,1895.5,0.522341331819,0.564809296782,0.371454014208,"[11.116648992576883, 7.3340933191940616, 10.585790031813362]",0.0933362394571,0.0989043563604
0,banana,893.5,0.367663376523,0.468782791186,0.215705998752,1,1785.0,0.525607601609,0.541401273885,0.353730950269,"[9.823939554612938, 5.8704931071049842, 9.1423117709437971]",0.102034680545,0.108286835253
0,unknown,,0.222222222222,1.0,0.269615486858,0,18.0,0.222222222222,1.0,0.269615486858,"[0.16622481442205728, 0.16041887592788973, 0.16036585365853659]",0,0
1,banana,986.5,0.421328721344,0.41310720268,0.220745893672,1,3377.5,0.440854653065,0.236660477175,0.12684285023,"[16.508828207847294, 12.601272534464474, 15.955699893955462]",0.09046589583158493,0.09991258382797241
0,,,0.546159865141,0.108440924379,0.0583520797669,0,1999.0,0.546159865141,0.108440924379,0.0583520797669,"[7.2205461293743376, 7.020731707317073, 7.3050901378579001]",0,0
1,banana,1134.0,0.486377302617,0.403990024938,0.251672651311,1,1960.0,0.525854572295,0.555870674986,0.369162380917,"[11.00609756097561, 7.2143160127253445, 10.366861081654294]",0.07061917334794998,0.08688417822122574
0,,,0.385474860335,0.121204760748,0.054658085608,0,1497.0,0.385474860335,0.121204760748,0.054658085608,"[5.4851007423117712, 5.3910657476139976, 5.5914369034994698]",0,0
1,banana,1020.0,0.417801147462,0.438144329897,0.235783821568,1,1884.5,0.524462700956,0.549096736597,0.365157523322,"[10.654718981972428, 6.7791357370095442, 9.9950954400848353]",0.07694768160581589,0.08766911178827286
0,,,0.430167597765,0.10941014293,0.0537366614293,0,1508.0,0.430167597765,0.10941014293,0.0537366614293,"[5.5101537645811245, 5.4182131495227992, 5.5764050901378575]",0,0
1,banana,1064.0,0.454740707639,0.378042281045,0.220136507057,1,2013.0,0.532675380567,0.596444444444,0.394328797855,"[11.874946977730646, 8.1647136797454927, 11.257290562036054]",0.08319207280874252,0.0992562398314476
0,,,1.0,0.948979591837,0.604114705449,0,46.5,1.0,0.948979591837,0.604114705449,"[0.24764050901378579, 0.23226405090137858, 0.24554612937433723]",0,0
1,banana,918.0,0.372608068865,0.462235649547,0.220533479794,1,1817.0,0.519796419674,0.55787534541,0.360072345456,"[10.39931071049841, 6.1365323435843058, 9.7435577942735954]",0.10846282541751862,0.11327990144491196
0,,,0.888888888889,0.930555555556,0.588304917344,0,67.0,0.888888888889,0.930555555556,0.588304917344,"[0.34305408271474019, 0.31418345705196182, 0.33849416755037115]",0,0
1,banana,851.5,0.350052260907,0.474637681159,0.211708141977,1,1777.0,0.5,0.559508816121,0.35252969349,"[10.515906680805939, 6.4045068928950162, 9.8665694591728528]",0.11954014748334885,0.12102627754211426
0,,,0.875,0.919642857143,0.580259851705,0,51.5,0.875,0.919642857143,0.580259851705,"[0.2761134676564157, 0.25835100742311773, 0.27545068928950162]",0,0
1,banana,785.0,0.337086299742,0.469216975493,0.204143677624,1,1967.5,0.539033970004,0.54275862069,0.372503609462,"[11.580620360551432, 7.4469247083775185, 10.927889713679745]",0.11464107781648636,0.11516542732715607
0,,,0.875,0.919642857143,0.580259851705,0,51.5,0.875,0.919642857143,0.580259851705,"[0.2761134676564157, 0.25835100742311773, 0.27545068928950162]",0,0
1,banana,785.0,0.337086299742,0.469216975493,0.204143677624,1,1967.5,0.539033970004,0.54275862069,0.372503609462,"[11.580620360551432, 7.4469247083775185, 10.927889713679745]",0.11464107781648636,0.11516542732715607
0,cup,1168.5,0.902683108988,0.768244575937,0.623802274208,1,2137.0,0.968253968254,0.556075982305,0.466505527049,"[13.282658517952635, 13.050709939148073, 13.59063249124101]",0.107997648418,0.134200468659
0,cup,1156.5,0.782608695652,0.698369565217,0.617137295252,1,2291.0,0.850936297763,0.708191653787,0.685739512815,"[13.350017122836595, 13.259661231263665, 13.611575037538527]",0.0984526351094,0.123880550265
